Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Gilvan (ZAG),Atlético-GO,5.82,21.0,2.13,7.6,0.93,21.0,2.0,,5.0,12.0,4.0,1.0,,,,,,6.0,,,26.0,,26.0,38,2020,,
Luiz Henrique (MEI),Coritiba,2.89,14.0,2.13,8.3,1.38,20.0,1.0,1.0,,7.0,1.0,2.0,,,,,,,,,9.0,,53.0,38,2020,,
Bruno Alves (ZAG),São Paulo,7.35,24.0,2.1,0.8,0.2,31.0,,,5.0,38.0,7.0,,,,,,,4.0,,,32.0,,63.0,38,2020,,
Hugo Moura (MEI),Coritiba,3.34,27.0,2.04,1.0,-0.18,46.0,1.0,3.0,,29.0,8.0,4.0,,,,,,5.0,,,42.0,,87.0,38,2020,,
Fernando Miguel (GOL),Vasco,6.95,33.0,2.02,-4.4,-1.5,,,,10.0,6.0,,,,30.0,2.0,,,,,48.0,,,242.0,38,2020,,
Edimar (LAT),Bragantino,4.46,29.0,2.02,3.0,0.94,48.0,1.0,,7.0,16.0,18.0,6.0,,,,,,7.0,,,43.0,1.0,264.0,38,2020,,
Diego (ZAG),São Paulo,2.97,17.0,1.99,1.1,0.33,29.0,,,4.0,14.0,4.0,3.0,,,,,,3.0,,,31.0,,74.0,38,2020,,
Felipe Alves (GOL),Fortaleza,3.75,33.0,1.97,-0.8,-0.02,3.0,,,10.0,6.0,,,,24.0,4.0,,,,,41.0,,,327.0,38,2020,,
Thaciano (MEI),Grêmio,4.85,24.0,1.96,0.3,-1.18,23.0,2.0,,,11.0,12.0,4.0,1.0,,,,,1.0,,,16.0,1.0,46.0,38,2020,,
Breno Lopes (ATA),Palmeiras,3.67,12.0,1.95,1.4,-0.62,8.0,1.0,,,6.0,3.0,1.0,3.0,,,,,,,,7.0,2.0,37.0,38,2020,,
Warley (ATA),Botafogo,2.68,13.0,1.93,0.9,-1.87,8.0,1.0,1.0,,16.0,2.0,4.0,,,,,,1.0,,,13.0,,18.0,38,2020,,
Léo Natel (ATA),Corinthians,4.14,25.0,1.93,1.2,0.17,21.0,4.0,1.0,,14.0,13.0,10.0,,,,,,3.0,,,36.0,9.0,106.0,38,2020,,
Luiz Henrique (MEI),Fortaleza,1.59,7.0,1.92,-0.2,0.13,3.0,,2.0,,9.0,2.0,,,,,,,1.0,,,4.0,,17.0,38,2020,,
Daniel Alves (MEI),São Paulo,10.6,25.0,1.91,4.8,-0.43,50.0,1.0,3.0,,51.0,19.0,8.0,1.0,,,,,9.0,,,55.0,7.0,294.0,38,2020,,
Pablo (ATA),São Paulo,7.88,24.0,1.89,7.6,1.47,16.0,2.0,2.0,,17.0,22.0,9.0,,,,,,4.0,,,33.0,9.0,43.0,38,2020,,
Marcelo Benevenuto (ZAG),Botafogo,6.23,29.0,1.86,2.0,-0.68,35.0,,1.0,5.0,19.0,12.0,2.0,,,,,,6.0,,,23.0,1.0,90.0,38,2020,,
Oliveira (ZAG),Atlético-GO,3.0,17.0,1.83,1.7,0.08,15.0,2.0,,3.0,8.0,2.0,,,,,,,3.0,,,13.0,,80.0,38,2020,,
Lucas Lima (MEI),Palmeiras,5.45,26.0,1.83,6.0,0.83,43.0,1.0,2.0,,34.0,9.0,5.0,1.0,,,,,6.0,,,32.0,3.0,173.0,38,2020,,
Henrique Lordelo (MEI),Goiás,1.84,10.0,1.83,4.9,0.85,22.0,,,,16.0,2.0,,,,,,,1.0,,,17.0,,28.0,38,2020,,
Paulão (ZAG),Fortaleza,3.16,30.0,1.8,0.4,-0.44,30.0,,,10.0,13.0,7.0,3.0,1.0,,,,,6.0,,,38.0,3.0,122.0,38,2020,,
Felipe Vizeu (ATA),Ceará,5.74,11.0,1.78,1.8,-1.18,,2.0,,,5.0,3.0,3.0,,,,,,,,,7.0,,14.0,38,2020,,
Diego (MEI),Flamengo,4.68,25.0,1.73,-1.9,-0.18,28.0,1.0,3.0,,51.0,6.0,4.0,,,,,,7.0,,,39.0,,93.0,38,2020,,
Rodrigues (ZAG),Grêmio,2.58,21.0,1.71,2.0,0.29,17.0,,,5.0,13.0,7.0,1.0,,,,,,3.0,,,7.0,2.0,89.0,38,2020,,
Danilo Gomes (ATA),Atlético-GO,1.79,13.0,1.71,3.6,0.53,14.0,1.0,,,10.0,4.0,1.0,,,,,,1.0,,,3.0,5.0,32.0,38,2020,,
Eduardo (LAT),Ceará,3.49,14.0,1.7,3.2,-0.37,21.0,1.0,,3.0,10.0,,1.0,1.0,,,,2.0,1.0,,,14.0,1.0,99.0,38,2020,,
Marcelo Fernandes (TEC),Santos,9.27,1.0,1.68,1.68,-1.69,,,,,,,,,,,,,,,,,,,38,2020,,
Everton (MEI),Grêmio,5.08,15.0,1.66,3.0,0.22,15.0,1.0,1.0,,17.0,3.0,3.0,,,,,,1.0,,,17.0,4.0,50.0,38,2020,,
Igor Vinícius (LAT),São Paulo,4.68,23.0,1.64,-1.3,-0.47,31.0,,2.0,4.0,17.0,6.0,4.0,,,,,,6.0,,,37.0,,110.0,38,2020,,
Miguel Figueira (MEI),Goiás,2.48,20.0,1.64,3.8,0.14,21.0,1.0,1.0,,30.0,8.0,4.0,1.0,,,,,4.0,,,32.0,1.0,58.0,38,2020,,
Ricardo Oliveira (ATA),Coritiba,6.95,17.0,1.63,8.1,1.3,4.0,2.0,1.0,,9.0,5.0,4.0,1.0,,,,,1.0,,,13.0,4.0,31.0,38,2020,,
Ronald (MEI),Fortaleza,3.01,26.0,1.63,2.0,0.24,41.0,,1.0,,28.0,2.0,3.0,,,,,,2.0,,,27.0,1.0,50.0,38,2020,,
Arthur Gomes (ATA),Santos,3.71,21.0,1.59,1.6,0.38,17.0,2.0,,,14.0,4.0,12.0,1.0,,,,1.0,1.0,,,22.0,1.0,87.0,38,2020,,
Marcão Silva (MEI),Sport,4.36,24.0,1.58,2.1,0.69,49.0,2.0,,,17.0,9.0,,,,,,,8.0,,,46.0,,37.0,38,2020,,
Breno (MEI),Goiás,3.89,25.0,1.56,0.8,0.3,66.0,,,,31.0,6.0,3.0,1.0,,,,1.0,8.0,,,52.0,,69.0,38,2020,,
Diego Loureiro (GOL),Botafogo,1.0,6.0,1.55,0.3,-1.72,,,,1.0,1.0,,,,7.0,1.0,,,,,14.0,,,32.0,38,2020,,
Betinho (MEI),Sport,4.19,23.0,1.55,0.6,0.2,54.0,,1.0,,26.0,7.0,1.0,,,,,,5.0,,,42.0,,121.0,38,2020,,
Cantillo (MEI),Corinthians,4.64,18.0,1.54,-1.6,-0.57,25.0,,2.0,,16.0,6.0,2.0,,,,,,3.0,,,21.0,,60.0,38,2020,,
Léo Matos (LAT),Vasco,4.5,17.0,1.54,-3.1,-1.55,19.0,1.0,2.0,5.0,9.0,5.0,5.0,,,,,,9.0,,,33.0,1.0,152.0,38,2020,,
Bruno Méndez (ZAG),Corinthians,3.07,13.0,1.53,5.9,0.71,18.0,,,5.0,1.0,,1.0,,,,,1.0,3.0,,,13.0,,73.0,38,2020,,
Marcos Vizolli (TEC),São Paulo,7.53,4.0,1.53,1.18,-0.12,,,,,,,,,,,,,,,,,,,38,2020,,
Jean Mota (MEI),Santos,3.71,27.0,1.52,0.0,-0.93,25.0,1.0,1.0,,20.0,12.0,10.0,1.0,,,,,2.0,1.0,,27.0,,100.0,38,2020,,
Rafael Thyere (ZAG),Sport,3.09,9.0,1.5,0.0,0.62,5.0,,,4.0,3.0,,,,,,1.0,,2.0,,,3.0,,25.0,38,2020,,
Cesinha (MEI),Botafogo,0.79,5.0,1.46,-0.6,-0.27,2.0,,1.0,,3.0,1.0,2.0,,,,,,,,,5.0,,19.0,38,2020,,
Allan (MEI),Atlético-MG,5.31,29.0,1.4,-2.8,-1.12,56.0,,,,25.0,16.0,6.0,1.0,,,,,6.0,,,41.0,,186.0,38,2020,,
Cássio (GOL),Corinthians,8.74,26.0,1.39,12.0,1.17,1.0,,,8.0,2.0,,,,23.0,,,1.0,1.0,,34.0,1.0,,221.0,38,2020,,
Kevin (LAT),Botafogo,2.57,28.0,1.35,-2.0,-1.17,62.0,,2.0,3.0,20.0,3.0,3.0,,,,1.0,,3.0,,,32.0,7.0,349.0,38,2020,,
Ênio (MEI),Botafogo,0.85,4.0,1.35,-0.2,-0.53,2.0,,,,4.0,,3.0,,,,,,,,,1.0,1.0,12.0,38,2020,,
Darlan (MEI),Grêmio,3.97,21.0,1.34,0.0,0.29,36.0,1.0,,,9.0,4.0,1.0,,,,,,4.0,,,20.0,,67.0,38,2020,,
Adryelson (ZAG),Sport,3.18,34.0,1.33,-1.7,-0.16,36.0,,,8.0,21.0,8.0,3.0,1.0,,,1.0,,7.0,,,44.0,2.0,118.0,38,2020,,
Pinares (MEI),Grêmio,5.9,10.0,1.33,3.2,1.29,3.0,1.0,1.0,,11.0,4.0,1.0,,,,,1.0,,,,7.0,,42.0,38,2020,,
Quintero (ZAG),Fortaleza,1.74,14.0,1.32,0.0,0.0,8.0,,,5.0,5.0,3.0,,,,,,1.0,3.0,,,12.0,,24.0,38,2020,,
Hudson (MEI),Fluminense,5.05,23.0,1.32,0.0,0.0,43.0,,2.0,,19.0,4.0,4.0,,,,1.0,1.0,2.0,,,36.0,3.0,68.0,38,2020,,
Danilo (MEI),Palmeiras,2.03,16.0,1.31,2.3,0.4,25.0,,,,11.0,7.0,2.0,,,,,,3.0,,,14.0,,45.0,38,2020,,
Marcio Silva (ZAG),Coritiba,1.18,1.0,1.3,1.3,0.18,1.0,,,,2.0,,,,,,,,,,,1.0,,2.0,38,2020,,
Arnaldo (LAT),Atlético-GO,2.89,17.0,1.25,-0.8,-0.11,7.0,,,4.0,6.0,,,,,,,,1.0,,,4.0,1.0,43.0,38,2020,,
Klaus (ZAG),Ceará,2.37,12.0,1.15,-6.0,-1.82,4.0,,,4.0,3.0,,,,,,,1.0,,,,8.0,,26.0,38,2020,,
Marcelo Lomba (GOL),Internacional,8.78,37.0,1.15,4.6,1.38,1.0,,,15.0,3.0,,,,20.0,,,,4.0,,34.0,,,394.0,38,2020,,
Luan Polli (GOL),Sport,3.55,29.0,1.15,-4.5,-0.42,,,,8.0,3.0,,,,28.0,,,,4.0,,40.0,1.0,,314.0,38,2020,,
Bruno Gomes (MEI),Vasco,3.01,21.0,1.12,2.0,-0.07,40.0,,,,48.0,3.0,1.0,,,,,2.0,4.0,,,37.0,,76.0,38,2020,,
Willian Maranhão (MEI),Atlético-GO,2.61,22.0,1.07,-0.3,-0.9,49.0,,,,14.0,5.0,2.0,,,,,1.0,5.0,,,33.0,1.0,67.0,38,2020,,
Praxedes (MEI),Internacional,0.96,22.0,1.07,-1.0,-0.78,36.0,1.0,,,20.0,12.0,2.0,,,,,,4.0,,,45.0,2.0,107.0,38,2020,,
Esteves (LAT),Palmeiras,1.73,7.0,1.0,1.6,-0.41,6.0,,,2.0,4.0,1.0,1.0,,,,,,2.0,,,10.0,1.0,35.0,38,2020,,
Gregore (MEI),Bahia,5.71,28.0,0.98,3.7,0.01,74.0,,3.0,,20.0,8.0,5.0,,,,,1.0,10.0,,,87.0,,157.0,38,2020,,
Cleiton (GOL),Bragantino,1.98,31.0,0.95,4.1,-0.01,2.0,,,9.0,6.0,,,,17.0,,,,,,31.0,1.0,,264.0,38,2020,,
Danilo Barcelos (LAT),Fluminense,3.5,18.0,0.94,4.4,-0.17,27.0,1.0,2.0,5.0,5.0,5.0,3.0,,,,,1.0,5.0,,,44.0,2.0,250.0,38,2020,,
David Sousa (ZAG),Botafogo,1.47,10.0,0.9,3.7,-0.12,9.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,8.0,,15.0,38,2020,,
Luan (MEI),São Paulo,3.01,24.0,0.78,-0.7,-0.54,40.0,,,,13.0,4.0,2.0,,,,,,5.0,,,34.0,,67.0,38,2020,,
Sandry (MEI),Santos,1.54,17.0,0.76,-0.4,-0.41,37.0,,,,10.0,3.0,,,,,,1.0,4.0,,,24.0,,66.0,38,2020,,
Ruan (ZAG),Grêmio,0.92,4.0,0.75,1.7,0.09,3.0,,,,1.0,1.0,1.0,,,,,,,,,3.0,,10.0,38,2020,,
Luiz Felipe (ZAG),Santos,3.07,11.0,0.68,-0.2,0.39,11.0,,,1.0,4.0,,,,,,,,1.0,,,9.0,1.0,35.0,38,2020,,
Henrique Vermudt (MEI),Coritiba,1.58,8.0,0.51,0.0,0.0,7.0,,,,2.0,1.0,,,,,,,,,,2.0,,37.0,38,2020,,
Luiz Otávio (MEI),Botafogo,2.05,17.0,0.38,2.4,0.48,7.0,,,,4.0,4.0,4.0,,,,,,1.0,,,11.0,,30.0,38,2020,,
Christian (MEI),Athlético-PR,1.16,28.0,0.3,2.3,0.37,25.0,1.0,,,31.0,5.0,6.0,1.0,,,,,6.0,,,56.0,2.0,132.0,38,2020,,
Ângelo (ATA),Santos,0.79,9.0,0.18,0.4,0.0,2.0,,,,5.0,,,,,,,,,,,3.0,,14.0,38,2020,,
Osman (ATA),Coritiba,2.57,5.0,0.12,0.7,-0.01,6.0,,,,,1.0,,,,,,,1.0,,,4.0,,22.0,38,2020,,
Jadson (MEI),Athlético-PR,3.53,9.0,0.11,0.8,-0.4,,,,,2.0,,2.0,1.0,,,,,,,,3.0,,40.0,38,2020,,
Patrick de Lucca (MEI),Bahia,0.77,3.0,-0.23,-1.5,-0.29,1.0,,,,,1.0,,,,,,,,,,,,25.0,38,2020,,
Guilherme Biro (ATA),Coritiba,0.77,8.0,-0.32,-3.6,-0.21,15.0,,,,2.0,2.0,,,,,1.0,,2.0,,,14.0,,41.0,38,2020,,
Gabriel Pereira (MEI),Corinthians,0.79,5.0,-0.4,0.0,0.0,1.0,,,,7.0,,,,,,,,1.0,,,6.0,,15.0,38,2020,,
Wellington (LAT),São Paulo,0.77,1.0,-3.1,-3.1,-0.23,,,,,2.0,,,,,,,,1.0,,,4.0,,1.0,38,2020,,
Ricardo Bueno (ATA),Ceará,18.52,1.0,22.7,22.7,14.52,,2.0,1.0,,,1.0,1.0,,,,,,,,,2.0,1.0,,1,2019,1.0,1.0
Bruno Henrique (ATA),Flamengo,21.51,1.0,21.0,21.0,11.51,,2.0,,,3.0,2.0,2.0,,,,,,,,,1.0,,,1,2019,,
Nikão (MEI),Athlético-PR,19.29,1.0,18.8,18.8,10.29,,1.0,,,2.0,2.0,1.0,,,,,,,,,1.0,,,1,2019,5.0,
Tiepo (GOL),Chapecoense,13.18,1.0,17.0,17.0,11.18,,,,1.0,,,,,4.0,,,,,,,,,,1,2019,,
Vanderlei (GOL),Santos,22.69,1.0,15.7,15.7,5.69,,,,,,,,,6.0,,,,,,1.0,,,,1,2019,,1.0
Marco Ruben (ATA),Athlético-PR,17.83,1.0,15.7,15.7,7.83,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,1,2019,1.0,1.0
Ramiro (MEI),Corinthians,15.54,1.0,14.4,14.4,7.54,,,1.0,,2.0,,1.0,,,,,,,,,,,,1,2019,5.0,1.0
Everaldo (ATA),Chapecoense,13.39,1.0,14.3,14.3,8.39,,2.0,,,1.0,,1.0,,,,,,,,,5.0,,,1,2019,,3.0
Eduardo Sasha (ATA),Santos,12.77,1.0,13.4,13.4,7.77,,1.0,,,2.0,1.0,,,,,,,,,,3.0,,,1,2019,4.0,3.0
Geuvânio (ATA),Atlético-MG,12.56,1.0,13.1,13.1,7.56,,,1.0,,7.0,,1.0,,,,,,,,,1.0,,,1,2019,3.0,2.0
Ricardo Oliveira (ATA),Atlético-MG,18.94,1.0,12.3,12.3,3.94,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,1,2019,,
Gabriel (ATA),Flamengo,18.04,1.0,12.0,12.0,4.04,,1.0,,,4.0,2.0,,,,,,,1.0,,,,,,1,2019,2.0,2.0
Bruno Pacheco (LAT),Chapecoense,12.49,1.0,12.0,12.0,6.49,,,1.0,1.0,1.0,,,,,,,,,,,,,,1,2019,1.0,
Marrony (ATA),Vasco,13.11,1.0,11.9,11.9,6.11,,,1.0,,5.0,3.0,2.0,,,,,,,,,2.0,,,1,2019,1.0,3.0
Tadeu (GOL),Goiás,11.73,1.0,11.9,11.9,6.73,,,,1.0,1.0,,,,,1.0,,,,,,,,,1,2019,,2.0
Everton (ATA),Grêmio,16.37,1.0,10.6,10.6,3.37,,1.0,,,1.0,,1.0,,,,,,,,,,,,1,2019,1.0,2.0
Cuéllar (MEI),Flamengo,12.63,1.0,10.2,10.2,4.63,,,,,,1.0,,,,,,,,,,1.0,,,1,2019,7.0,2.0
Clayson (ATA),Corinthians,11.86,1.0,10.1,10.1,4.86,,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,,1,2019,1.0,3.0
Alexander (GOL),Vasco,8.33,1.0,10.0,10.0,6.33,,,,,,,,,6.0,,,,,,4.0,,,,1,2019,,
Ramires (MEI),Bahia,14.36,1.0,9.7,9.7,3.36,,,1.0,,,1.0,1.0,,,,,,,,,,,,1,2019,2.0,1.0
Fábio Santos (LAT),Atlético-MG,12.77,1.0,9.4,9.4,3.77,,1.0,,,2.0,,,,,,,,,,,1.0,,,1,2019,1.0,2.0
Felipe Jonatan (LAT),Santos,9.99,1.0,9.4,9.4,4.99,,1.0,,,,1.0,1.0,,,,,,,,,,,,1,2019,,2.0
Luiz Otávio (ZAG),Ceará,11.38,1.0,9.4,9.4,4.38,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1,2019,,2.0
Samuel Xavier (LAT),Ceará,11.86,1.0,9.1,9.1,3.86,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1,2019,,3.0
Pedro Rocha (ATA),Cruzeiro,12.56,1.0,9.1,9.1,3.56,,1.0,,,2.0,,,,,,,,,,,1.0,,,1,2019,1.0,3.0
Jean Lucas (MEI),Santos,8.95,1.0,8.9,8.9,4.95,,,1.0,,3.0,1.0,,,,,,,,,,1.0,,,1,2019,2.0,3.0
Willian Arão (MEI),Flamengo,11.73,1.0,8.9,8.9,3.73,,,1.0,,1.0,,,,,,,,,,,1.0,,,1,2019,3.0,2.0
Enderson Moreira (TEC),Ceará,10.27,1.0,8.81,8.81,4.27,,,,,,,,,,,,,,,,,,,1,2019,,
Leandro Carvalho (ATA),Ceará,11.45,1.0,8.5,8.5,3.45,,1.0,,,,1.0,,,,,,,,,,,,,1,2019,,1.0
Kevin (LAT),Goiás,6.52,1.0,8.4,8.4,5.52,,,,1.0,1.0,1.0,,,,,,,,,,,,,1,2019,2.0,3.0
Everton Ribeiro (MEI),Flamengo,15.54,1.0,8.4,8.4,1.54,,,1.0,,3.0,,,,,,,,,,,1.0,,,1,2019,2.0,2.0
Moisés (LAT),Bahia,11.24,1.0,8.2,8.2,3.24,,,,,,1.0,1.0,,,,,,,,,2.0,,,1,2019,5.0,1.0
Eduardo (LAT),Chapecoense,9.85,1.0,8.2,8.2,3.85,,,,1.0,1.0,,,,,,,,,,,,,,1,2019,2.0,1.0
Gilberto (ATA),Bahia,14.71,1.0,8.2,8.2,1.71,,,1.0,,1.0,,1.0,,,,,,,,,3.0,,,1,2019,2.0,
Bruno Guimarães (MEI),Athlético-PR,12.63,1.0,8.2,8.2,2.63,,1.0,,,4.0,,,,,,,,,,,3.0,,,1,2019,,1.0
Pedro Geromel (ZAG),Grêmio,12.49,1.0,8.0,8.0,2.49,,,,,1.0,,,,,,,,,,,,,,1,2019,5.0,
Rony (ATA),Athlético-PR,9.71,1.0,8.0,8.0,3.71,,,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,,1,2019,1.0,1.0
Diogo Silva (GOL),Ceará,7.63,1.0,8.0,8.0,4.63,,,,1.0,,,,,1.0,,,,,,,,,,1,2019,,
Pedrinho (MEI),Corinthians,11.03,1.0,7.9,7.9,3.03,,1.0,,,2.0,,,,,,,,,,,1.0,,,1,2019,,2.0
Artur (ATA),Bahia,8.26,1.0,7.9,7.9,4.26,,1.0,,,,,,,,,,,,,,1.0,1.0,,1,2019,2.0,7.0
Jefferson (LAT),Goiás,6.8,1.0,7.8,7.8,4.8,,,,1.0,2.0,1.0,,,,,,,,,,1.0,,,1,2019,1.0,
Hudson (MEI),São Paulo,10.2,1.0,7.7,7.7,3.2,,1.0,,,1.0,,,,,,,,,,,4.0,,,1,2019,1.0,1.0
Gustavo Bochecha (MEI),Botafogo,8.05,1.0,7.6,7.6,4.05,,,,,4.0,,,,,,,,,,,2.0,,,1,2019,5.0,3.0
Gregore (MEI),Bahia,12.07,1.0,7.4,7.4,2.07,,,,,,,,,,,,,,,,2.0,,,1,2019,6.0,2.0
André (ATA),Grêmio,8.39,1.0,7.1,7.1,3.39,,,,,4.0,1.0,2.0,1.0,,,,,,,,1.0,,,1,2019,,2.0
Felipe Alves (GOL),Fortaleza,6.94,1.0,7.0,7.0,3.94,,,,,,,,,5.0,,,,,,4.0,,,,1,2019,,
Antony (ATA),São Paulo,8.95,1.0,6.9,6.9,2.95,,,1.0,,2.0,,,,,,,,,,,,,,1,2019,1.0,2.0
Maicon (MEI),Grêmio,11.66,1.0,6.8,6.8,1.66,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1,2019,2.0,
Reinaldo (LAT),São Paulo,12.28,1.0,6.7,6.7,1.28,,,,1.0,,,,,,,,,,,,2.0,,,1,2019,2.0,1.0
Arthur Caíke (ATA),Bahia,10.2,1.0,6.7,6.7,2.2,,1.0,,,,1.0,,,,,,,,,,3.0,,,1,2019,,2.0
Manoel (ZAG),Corinthians,9.37,1.0,6.5,6.5,2.37,,,,,,1.0,,,,,,,,,,,,,1,2019,4.0,1.0
David Duarte (ZAG),Goiás,7.98,1.0,6.5,6.5,2.98,,,,1.0,,,,,,,,,,,,,,,1,2019,1.0,
Ney Franco (TEC),Chapecoense,6.51,1.0,6.38,6.38,3.51,,,,,,,,,,,,,,,,,,,1,2019,,
Dawhan (MEI),CSA,7.08,1.0,6.2,6.2,3.08,,,,,,1.0,,,,,,,,,,,,,1,2019,4.0,2.0
Roger Machado (TEC),Bahia,8.2,1.0,5.82,5.82,2.2,,,,,,,,,,,,,,,,,,,1,2019,,
Ricardo (ZAG),Vasco,5.97,1.0,5.6,5.6,2.97,,,,,1.0,1.0,,,,,,,,,,1.0,,,1,2019,4.0,4.0
Alan Ruschel (LAT),Chapecoense,7.35,1.0,5.6,5.6,2.35,,,,1.0,4.0,,1.0,,,,,,,,,4.0,,,1,2019,,2.0
Felipe (MEI),Fortaleza,6.52,1.0,5.4,5.4,2.52,,,,,2.0,,1.0,,,,,,,,,2.0,,,1,2019,3.0,1.0
Thiago Carleto (LAT),Ceará,9.3,1.0,5.4,5.4,1.3,,,,1.0,1.0,1.0,,,,,,,,,,,,,1,2019,,3.0
Tiago Nunes (TEC),Athlético-PR,8.56,1.0,5.34,5.34,1.56,,,,,,,,,,,,,,,,,,,1,2019,,
Abel Braga (TEC),Flamengo,10.59,1.0,5.26,5.26,0.59,,,,,,,,,,,,,,,,,,,1,2019,,
Ralf (MEI),Corinthians,9.16,1.0,5.2,5.2,1.16,,,,,2.0,,,,,,,,,,,,,,1,2019,3.0,1.0
Wellington Paulista (ATA),Fortaleza,9.16,1.0,5.2,5.2,1.16,,,,,3.0,1.0,1.0,,,,,,,,,2.0,,,1,2019,2.0,1.0
Arboleda (ZAG),São Paulo,9.85,1.0,5.2,5.2,0.85,,,,1.0,,,,,,,,,,,,2.0,,,1,2019,1.0,1.0
Igor Vinícius (LAT),São Paulo,7.77,1.0,5.2,5.2,1.77,,,,1.0,,,,,,,,,,,,2.0,,,1,2019,1.0,1.0
Tiago Alves (ZAG),Ceará,6.38,1.0,5.2,5.2,2.38,,,,1.0,,,,,,,,,,,,2.0,,,1,2019,1.0,1.0
Claudinei Oliveira (TEC),Goiás,7.02,1.0,5.12,5.12,2.02,,,,,,,,,,,,,,,,,,,1,2019,,
Adilson (MEI),Atlético-MG,7.56,1.0,4.9,4.9,1.56,,,,,2.0,,,,,,,,,,,,,,1,2019,3.0,2.0
Cuca (TEC),São Paulo,8.89,1.0,4.81,4.81,0.89,,,,,,,,,,,,,,,,,,,1,2019,,
Everton (MEI),São Paulo,10.96,1.0,4.8,4.8,-0.04,,1.0,,,,,,,,,,,,,,4.0,,,1,2019,,4.0
Renato Gaúcho (TEC),Grêmio,11.47,1.0,4.53,4.53,-0.53,,,,,,,,,,,,,,,,,,,1,2019,,
Auremir (MEI),Ceará,4.51,1.0,4.5,4.5,2.51,,,,,1.0,,,,,,,,,,,4.0,,,1,2019,4.0,
Tiago Volpi (GOL),São Paulo,8.6,1.0,4.4,4.4,0.6,,,,1.0,,,,,,,,,,,,,,,1,2019,,2.0
Jorge Sampaoli (TEC),Santos,9.28,1.0,4.37,4.37,0.28,,,,,,,,,,,,,,,,,,,1,2019,,
Rodrigo Santana (TEC),Atlético-MG,8.48,1.0,4.22,4.22,0.48,,,,,,,,,,,,,,,,,,,1,2019,,
Marquinhos Silva (ZAG),Avaí,6.38,1.0,4.2,4.2,1.38,,,,,,,,,,,,,,,,,,,1,2019,3.0,1.0
Fábio Carille (TEC),Corinthians,9.84,1.0,4.18,4.18,-0.16,,,,,,,,,,,,,,,,,,,1,2019,,
Raul (MEI),Vasco,5.62,1.0,4.1,4.1,1.62,,,,,2.0,,1.0,,,,,,1.0,,,3.0,,,1,2019,4.0,2.0
Roger Carvalho (ZAG),Fortaleza,5.62,1.0,4.1,4.1,1.62,,,,,1.0,,,,,,,,,,,,,,1,2019,3.0,3.0
Ernando (ZAG),Bahia,6.24,1.0,4.0,4.0,1.24,,,,,,,,,,,,,,,,1.0,,,1,2019,3.0,
Elias (MEI),Atlético-MG,9.64,1.0,3.9,3.9,-0.36,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,1,2019,1.0,3.0
Fabinho (MEI),Ceará,6.17,1.0,3.9,3.9,1.17,,,,,,,,,,,,,,,,3.0,,,1,2019,4.0,2.0
Jean Mota (MEI),Santos,10.96,1.0,3.8,3.8,-1.04,,,,,1.0,,1.0,,,,,,,,,,,,1,2019,2.0,3.0
Gum (ZAG),Chapecoense,6.8,1.0,3.8,3.8,0.8,,,,1.0,,,,,,,,,,,,,,,1,2019,,4.0
Lucas Veríssimo (ZAG),Santos,6.8,1.0,3.8,3.8,0.8,,,,,,,,,,,,,1.0,,,1.0,,,1,2019,5.0,4.0
Luan (MEI),Atlético-MG,8.05,1.0,3.6,3.6,0.05,,,,,1.0,,,,,,,,,,,1.0,,,1,2019,3.0,3.0
Chará (ATA),Atlético-MG,8.74,1.0,3.6,3.6,-0.26,,,,,1.0,3.0,,,,,,,,,,1.0,,,1,2019,2.0,6.0
Chico (MEI),Ceará,5.97,1.0,3.6,3.6,0.97,,,,,,,,,,,,,,,,,,,1,2019,3.0,3.0
Marcos Valadares (TEC),Vasco,7.31,1.0,3.54,3.54,0.31,,,,,,,,,,,,,,,,,,,1,2019,,
Fagner (LAT),Corinthians,5.83,1.0,3.4,3.4,0.83,,,,,3.0,,,,,,,,1.0,,,,,,1,2019,3.0,2.0
Marcinho (LAT),Botafogo,6.38,1.0,3.2,3.2,0.38,,,,,,1.0,,,,,,,,,,,,,1,2019,2.0,2.0
Yony González (ATA),Fluminense,8.39,1.0,3.1,3.1,-0.61,,,,,,2.0,,,,,,,,,,,,,1,2019,1.0,
Geovane (MEI),Goiás,3.54,1.0,3.1,3.1,1.54,,,,,,,,,,,,,,,,1.0,,,1,2019,3.0,3.0
Régis (MEI),Chapecoense,3.47,1.0,3.0,3.0,1.47,,,,,,1.0,,,,,,,,,,1.0,,,1,2019,2.0,1.0
Bruno Ramires (MEI),CSA,4.16,1.0,3.0,3.0,1.16,,,,,,1.0,,,,,,,,,,1.0,,,1,2019,2.0,1.0
